iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
ETH,Ethiopia,1203866465.00,749396069.60,1953262534.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/ethiopie.html
FJI,Fiji,154548560.50,36740000.00,191288560.50,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/fidji.html
GAB,Gabon,501237414.60,458519355.40,959756770.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/gabon.html
GEO,Georgia,1491778887.00,98070397.56,1589849284.56,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/georgie.html
GHA,Ghana,1189630940.00,2661778058.00,3851408998.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/ghana.html
GIN,Guinea,233987061.40,257548137.90,491535199.30,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/guinee.html
GMB,The Gambia,464125.00,0.00,464125.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/gambie.html
GNB,Guinea-Bissau,0.00,25210000.00,25210000.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/guinee-bissau.html
GNQ,Equatorial Guinea,0.00,79161640.81,79161640.81,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/guinee-equatoriale.html
GRC,Greece,0.00,24145414610.00,24145414610.00,encours,
GRD,Grenada,1809500.00,1627897.13,3437397.13,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/grenade.html
GTM,Guatemala,173006598.00,0.00,173006598.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/guatemala.html
GUY,Guyana,71598572.86,117510000.00,189108572.86,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/guyana.html
HND,Honduras,412319041.30,1816752.93,414135794.23,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/honduras.html
